fecha,ticket,banca,monto,premio,estado,jugadas
02/02/2026 06:44 PM,LAN-010-000061285,LAN-0010,$1.00,$0.00,Perdedor,61-02-09:Tripleta:$1.00
02/02/2026 06:44 PM,LAN-010-000061284,LAN-0010,$8.00,$0.00,Perdedor,61-02:Pale:$2.00|61:Directo:$2.00|02:Directo:$2.00|61-02-07:Tripleta:$2.00
02/02/2026 06:12 PM,LAN-010-000061283,LAN-0010,$21.00,$0.00,Perdedor,44:Directo:$2.00|44-74:Pale:$1.00|44:Directo:$2.00|44-74:Pale:$1.00|44:Directo:$2.00|44-74:Pale:$1.00|44:Directo:$2.00|44-74:Pale:$1.00|44:Directo:$2.00|44-74:Pale:$1.00|44:Directo:$2.00|44-74:Pale:$1.00|44:Directo:$2.00|44-74:Pale:$1.00
02/02/2026 05:49 PM,LAN-010-000061282,LAN-0010,$9.00,$0.00,Perdedor,45-75:Pale:$2.00|44-45:Pale:$2.00|45:Directo:$5.00
02/02/2026 05:24 PM,LAN-010-000061281,LAN-0010,$42.00,$0.00,Perdedor,44-45:Pale:$1.00|44-40:Pale:$1.00|10-96:Pale:$1.00|01-96:Pale:$1.00|10-69:Pale:$1.00|04-44:Pale:$1.00|27-03:Pale:$2.00|01-10:Pale:$2.00|69-96:Pale:$2.00|01-69:Pale:$2.00|44-45:Pale:$1.00|44-40:Pale:$1.00|10-96:Pale:$1.00|01-96:Pale:$1.00|10-69:Pale:$1.00|04-44:Pale:$1.00|27-03:Pale:$2.00|01-10:Pale:$2.00|69-96:Pale:$2.00|01-69:Pale:$2.00|44-45:Pale:$1.00|44-40:Pale:$1.00|10-96:Pale:$1.00|01-96:Pale:$1.00|10-69:Pale:$1.00|04-44:Pale:$1.00|27-03:Pale:$2.00|01-10:Pale:$2.00|69-96:Pale:$2.00|01-69:Pale:$2.00
02/02/2026 05:05 PM,LAN-010-000061280,LAN-0010,$6.00,$0.00,Perdedor,05-55:Pale:$1.00|10-21:Pale:$1.00|14-49:Pale:$1.00|19-25:Pale:$1.00|08-24:Pale:$1.00|11-07:Pale:$1.00
02/02/2026 04:33 PM,LAN-010-000061279,LAN-0010,$6.00,$0.00,Perdedor,06:Directo:$1.00|60:Directo:$1.00|06-60:Pale:$1.00|06:Directo:$1.00|60:Directo:$1.00|06-60:Pale:$1.00
02/02/2026 04:31 PM,LAN-010-000061278,LAN-0010,$1.00,$0.00,Perdedor,44-06:Pale:$1.00
02/02/2026 04:30 PM,LAN-010-000061277,LAN-0010,$13.00,$0.00,Perdedor,85:Directo:$1.00|06:Directo:$1.00|60:Directo:$1.00|85-06-60:Tripleta:$1.00|58-78-06:Tripleta:$1.00|58:Directo:$1.00|78:Directo:$1.00|06:Directo:$1.00|32:Directo:$1.00|23:Directo:$1.00|12:Directo:$1.00|24:Directo:$1.00|32-23-12:Tripleta:$1.00
02/02/2026 04:25 PM,LAN-010-000061276,LAN-0010,$12.00,$0.00,Perdedor,40:Directo:$3.00|79:Directo:$3.00|19:Directo:$3.00|26:Directo:$3.00
