fecha,ticket,banca,referencia,monto,premio,estado,jugadas
02/01/2026 02:04 PM,LAN-010-000061198,LAN-0010,GILBERTO TL,$9.00,$0.00,Perdedor,03:Directo:$1.00|30:Directo:$1.00|33:Directo:$1.00|03-30:Pale:$2.00|03-33:Pale:$2.00|30-33:Pale:$2.00
02/01/2026 01:45 PM,LAN-010-000061197,LAN-0010,GILBERTO TL,$20.00,$0.00,Perdedor,27-03:Pale:$2.00|27-03:Pale:$2.00|27-03:Pale:$2.00|27-03:Pale:$2.00|27-03:Pale:$2.00|27-03:Pale:$2.00|27-03:Pale:$2.00|27-03:Pale:$2.00|27-03:Pale:$2.00|27-03:Pale:$2.00
02/01/2026 01:15 PM,LAN-010-000061196,LAN-0010,GILBERTO TL,$18.00,$0.00,Perdedor,77:Directo:$5.00|87:Directo:$5.00|04:Directo:$5.00|04-77:Pale:$1.00|04-87:Pale:$1.00|77-87:Pale:$1.00
02/01/2026 12:59 PM,LAN-010-000061195,LAN-0010,GILBERTO TL,$3.00,$0.00,Perdedor,45-54:Pale:$1.00|45-54:Pale:$1.00|45-54:Pale:$1.00
02/01/2026 12:58 PM,LAN-010-000061194,LAN-0010,GILBERTO TL,$10.00,$0.00,Perdedor,12:Directo:$2.00|21:Directo:$2.00|04-06:Pale:$1.00|15-90:Pale:$1.00|01-08:Pale:$1.00|92-29:Pale:$1.00|54-45:Pale:$1.00|27-72-18:Tripleta:$1.00
02/01/2026 12:52 PM,LAN-010-000061193,LAN-0010,GILBERTO TL,$2.00,$0.00,Perdedor,25-00:Pale:$1.00|25-00:Pale:$1.00
02/01/2026 12:51 PM,LAN-010-000061192,LAN-0010,GILBERTO TL,$18.00,$0.00,Perdedor,25:Directo:$1.00|55:Directo:$1.00|00:Directo:$1.00|08:Directo:$1.00|58:Directo:$1.00|08-58-55:Tripleta:$1.00|25:Directo:$1.00|55:Directo:$1.00|00:Directo:$1.00|08:Directo:$1.00|58:Directo:$1.00|08-58-55:Tripleta:$1.00|25:Directo:$1.00|55:Directo:$1.00|00:Directo:$1.00|08:Directo:$1.00|58:Directo:$1.00|08-58-55:Tripleta:$1.00
02/01/2026 12:22 PM,LAN-010-000061191,LAN-0010,GILBERTO TL,$15.00,$0.00,Perdedor,45:Directo:$1.00|45:Directo:$1.00|03-27:Pale:$2.00|03-72:Pale:$1.00|30-03:Pale:$1.00|27-72:Pale:$1.00|27-30:Pale:$1.00|45:Directo:$1.00|03-27:Pale:$2.00|03-72:Pale:$1.00|30-03:Pale:$1.00|27-72:Pale:$1.00|27-30:Pale:$1.00
02/01/2026 12:20 PM,LAN-010-000061190,LAN-0010,GILBERTO TL,$15.00,$0.00,Perdedor,49-45:Pale:$1.00|12-49:Pale:$1.00|74-12:Pale:$1.00|12-45:Pale:$1.00|12-48:Pale:$1.00|49-45:Pale:$1.00|12-49:Pale:$1.00|74-12:Pale:$1.00|12-45:Pale:$1.00|12-48:Pale:$1.00|49-45:Pale:$1.00|12-49:Pale:$1.00|74-12:Pale:$1.00|12-45:Pale:$1.00|12-48:Pale:$1.00
02/01/2026 12:14 PM,LAN-010-000061189,LAN-0010,GILBERTO TL,$20.00,$0.00,Perdedor,45:Directo:$2.00|48:Directo:$2.00|49:Directo:$2.00|74:Directo:$2.00|12:Directo:$2.00|45:Directo:$2.00|48:Directo:$2.00|49:Directo:$2.00|74:Directo:$2.00|12:Directo:$2.00
02/01/2026 11:48 AM,LAN-010-000061188,LAN-0010,GILBERTO TL,$25.00,$0.00,Perdedor,19:Directo:$1.00|24:Directo:$1.00|16-24:Pale:$1.00|24-78:Pale:$1.00|12-04:Pale:$1.00|19:Directo:$1.00|24:Directo:$1.00|16-24:Pale:$1.00|24-78:Pale:$1.00|12-04:Pale:$1.00|19:Directo:$1.00|24:Directo:$1.00|16-24:Pale:$1.00|24-78:Pale:$1.00|12-04:Pale:$1.00|19:Directo:$1.00|24:Directo:$1.00|16-24:Pale:$1.00|24-78:Pale:$1.00|12-04:Pale:$1.00|19:Directo:$1.00|24:Directo:$1.00|16-24:Pale:$1.00|24-78:Pale:$1.00|12-04:Pale:$1.00
02/01/2026 11:39 AM,LAN-010-000061187,LAN-0010,GILBERTO TL,$4.00,$0.00,Perdedor,12:Directo:$2.00|12:Directo:$2.00
02/01/2026 11:38 AM,LAN-010-000061186,LAN-0010,GILBERTO TL,$12.00,$0.00,Perdedor,48:Directo:$2.00|49:Directo:$2.00|75:Directo:$2.00|48:Directo:$2.00|49:Directo:$2.00|75:Directo:$2.00
02/01/2026 11:20 AM,LAN-010-000061185,LAN-0010,GILBERTO TL,$8.00,$0.00,Perdedor,56-16:Pale:$2.00|56-06:Pale:$2.00|56-16:Pale:$2.00|56-06:Pale:$2.00
02/01/2026 11:07 AM,LAN-010-000061184,LAN-0010,GILBERTO TL,$6.00,$0.00,Perdedor,11-07:Pale:$1.00|10-21:Pale:$2.00|19-25:Pale:$1.00|18-88:Pale:$1.00|27-07:Pale:$1.00
02/01/2026 10:47 AM,LAN-010-000061183,LAN-0010,GILBERTO TL,$2.00,$0.00,Perdedor,39:Directo:$2.00
02/01/2026 10:44 AM,LAN-010-000061182,LAN-0010,GILBERTO TL,$2.00,$0.00,Perdedor,13-39:Pale:$2.00
02/01/2026 10:43 AM,LAN-010-000061181,LAN-0010,GILBERTO TL,$4.00,$0.00,Perdedor,16:Directo:$4.00
02/01/2026 10:43 AM,LAN-010-000061180,LAN-0010,GILBERTO TL,$8.00,$0.00,Perdedor,16-69:Pale:$1.00|16-69:Pale:$1.00|16-69:Pale:$1.00|16-69:Pale:$1.00|16-69:Pale:$1.00|16-69:Pale:$1.00|16-69:Pale:$1.00|16-69:Pale:$1.00
02/01/2026 10:42 AM,LAN-010-000061179,LAN-0010,GILBERTO TL,$8.00,$0.00,Perdedor,41-02:Pale:$1.00|41-02:Pale:$1.00|41-02:Pale:$1.00|41-02:Pale:$1.00|41-02:Pale:$1.00|41-02:Pale:$1.00|41-02:Pale:$1.00|41-02:Pale:$1.00
02/01/2026 10:31 AM,LAN-010-000061178,LAN-0010,GILBERTO TL,$2.00,$0.00,Perdedor,01-49:Pale:$1.00|01-49:Pale:$1.00
02/01/2026 10:30 AM,LAN-010-000061177,LAN-0010,GILBERTO TL,$2.00,$0.00,Perdedor,01-49:Pale:$1.00|01-49:Pale:$1.00
02/01/2026 10:29 AM,LAN-010-000061176,LAN-0010,GILBERTO TL,$16.00,$0.00,Perdedor,01-49:Pale:$1.00|10-49:Pale:$1.00|49:Directo:$2.00|48:Directo:$2.00|45:Directo:$2.00|01-49:Pale:$1.00|10-49:Pale:$1.00|49:Directo:$2.00|48:Directo:$2.00|45:Directo:$2.00
02/01/2026 10:22 AM,LAN-010-000061175,LAN-0010,GILBERTO TL,$10.00,$0.00,Perdedor,33:Directo:$2.00|21:Directo:$2.00|12:Directo:$2.00|12-11:Pale:$1.00|21-11:Pale:$1.00|91-21:Pale:$1.00|19-12:Pale:$1.00
02/01/2026 09:58 AM,LAN-010-000061174,LAN-0010,GILBERTO TL,$5.00,$0.00,Perdedor,48:Directo:$5.00
